# BUSCO version is: 5.7.1 
# The lineage dataset is: poales_odb10 (Creation date: 2024-01-08, number of genomes: 12, number of BUSCOs: 4896)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at38820	Duplicated	chr2A_Hilliard	766396972	766416088	+	8364.1	4153	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
0at38820	Duplicated	chr2D_Hilliard	651849627	651830607	-	8362.2	4152	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
0at38820	Duplicated	chr2B_Hilliard	786440639	786421469	-	8344.3	4151	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
2at38820	Duplicated	chr5D_Hilliard	283830536	283811498	-	8406.2	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
2at38820	Duplicated	chr5B_Hilliard	360000370	359977870	-	8398.1	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
2at38820	Duplicated	chr5A_Hilliard	360751615	360732538	-	8395.2	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
5at38820	Duplicated	chr1A_Hilliard	270342080	270307160	-	8325.4	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
5at38820	Duplicated	chr1D_Hilliard	209055624	209023692	-	8320.5	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
5at38820	Duplicated	chr1B_Hilliard	294821292	294783366	-	8230.7	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
8at38820	Duplicated	chr2A_Hilliard	90853051	90875585	+	7093.7	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
8at38820	Duplicated	chr2D_Hilliard	106311606	106333903	+	7093.5	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
8at38820	Duplicated	chr2B_Hilliard	151676571	151698921	+	7091.0	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
10at38820	Duplicated	chr4D_Hilliard	45775344	45794741	+	6069.2	3111	https://v10-1.orthodb.org/?query=10at38820	Serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4A_Hilliard	558953530	558938054	-	6065.8	3111	https://v10-1.orthodb.org/?query=10at38820	Serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4B_Hilliard	61413291	61428299	+	6058.4	3111	https://v10-1.orthodb.org/?query=10at38820	Serine/threonine-protein kinase SMG1
12at38820	Duplicated	chr5D_Hilliard	478784560	478800961	+	6528.9	3074	https://v10-1.orthodb.org/?query=12at38820	WD40 repeat
12at38820	Duplicated	chr5A_Hilliard	590521695	590505793	-	6521.8	3074	https://v10-1.orthodb.org/?query=12at38820	WD40 repeat
12at38820	Duplicated	chr5B_Hilliard	626801304	626784975	-	6514.5	3074	https://v10-1.orthodb.org/?query=12at38820	WD40 repeat
20at38820	Duplicated	chr7D_Hilliard	408407034	408433888	+	5296.9	2844	https://v10-1.orthodb.org/?query=20at38820	Vacuolar protein sorting-associated protein 13, N-terminal domain
20at38820	Duplicated	chr7B_Hilliard	406443856	406471132	+	4687.1	2707	https://v10-1.orthodb.org/?query=20at38820	Vacuolar protein sorting-associated protein 13, N-terminal domain
22at38820	Duplicated	chr3D_Hilliard	80185347	80166211	-	4711.3	2563	https://v10-1.orthodb.org/?query=22at38820	Spatacsin, C-terminal domain
22at38820	Duplicated	chr3B_Hilliard	135880298	135861248	-	4691.8	2563	https://v10-1.orthodb.org/?query=22at38820	Spatacsin, C-terminal domain
