# BUSCO version is: 5.7.1 
# The lineage dataset is: poales_odb10 (Creation date: 2024-01-08, number of genomes: 12, number of BUSCOs: 4896)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at38820	Duplicated	chr2A_AGS2000	771886923	771906037	+	8368.7	4153	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
0at38820	Duplicated	chr2B_AGS2000	791325401	791306293	-	8332.0	4153	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
0at38820	Duplicated	chr2D_AGS2000	641747261	641728241	-	8362.2	4152	https://v10-1.orthodb.org/?query=0at38820	Zinc finger, RING/FYVE/PHD-type
2at38820	Duplicated	chr5D_AGS2000	284412419	284393383	-	8406.2	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
2at38820	Duplicated	chr5B_AGS2000	327375264	327352764	-	8398.1	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
2at38820	Duplicated	chr5A_AGS2000	362492583	362473507	-	8395.2	4223	https://v10-1.orthodb.org/?query=2at38820	Zinc finger, ZZ-type
5at38820	Duplicated	chr1D_AGS2000	195760370	195728439	-	8325.8	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
5at38820	Duplicated	chr1A_AGS2000	256005660	255970740	-	8325.4	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
5at38820	Duplicated	chr1B_AGS2000	359333432	359295502	-	8230.7	4560	https://v10-1.orthodb.org/?query=5at38820	Midasin AAA lid domain 5
8at38820	Duplicated	chr2A_AGS2000	92892159	92914694	+	7094.3	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
8at38820	Duplicated	chr2D_AGS2000	96831574	96853870	+	7093.5	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
8at38820	Duplicated	chr2B_AGS2000	159313505	159335854	+	7091.0	3338	https://v10-1.orthodb.org/?query=8at38820	Phosphatidylinositol 3-/4-kinase, catalytic domain
10at38820	Duplicated	chr4D_AGS2000	45607955	45627352	+	6069.2	3111	https://v10-1.orthodb.org/?query=10at38820	Serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4A_AGS2000	558270252	558254776	-	6065.8	3111	https://v10-1.orthodb.org/?query=10at38820	Serine/threonine-protein kinase SMG1
